ID,StoreName,City,Latitude,Longitude,GoogleMapsLink
store_000959,"THE SPICE HOTSPOT","Patna",25.6150612,85.1602958,https://www.google.com/maps?q=25.6150612,85.1602958
store_002491,"Hotspot- BIHAR-DANAPUR PATNA","Patna",25.62387,85.0418186,https://www.google.com/maps?q=25.62387,85.0418186
store_002492,"Hotspot- CHANDIGARH-SECTOR-17C","Chandigarh",30.7398061,76.7825045,https://www.google.com/maps?q=30.7398061,76.7825045
store_002495,"Hotspot- DARYAGANJ","New Delhi",28.6470895,77.2401306,https://www.google.com/maps?q=28.6470895,77.2401306
store_002493,"Hotspot- MALVIYA NAGAR","New Delhi",28.5374512,77.2131321,https://www.google.com/maps?q=28.5374512,77.2131321
store_002500,"Hotspot- DELHI-KALKAJI-III","New Delhi",28.5423564,77.2536271,https://www.google.com/maps?q=28.5423564,77.2536271
store_002496,"Hotspot- GAFFAR MARKET","New Delhi",28.649377,77.1905025,https://www.google.com/maps?q=28.649377,77.1905025
store_002483,"Hotspot- BIHAR-DADAN HANDI","Patna",25.62387,85.0418186,https://www.google.com/maps?q=25.62387,85.0418186
store_002499,"Hotspot- MUNRIKA","New Delhi",28.5560751,77.1751661,https://www.google.com/maps?q=28.5560751,77.1751661
store_002494,"Hotspot- YUSUF SARAI","New Delhi",28.5601049,77.2068769,https://www.google.com/maps?q=28.5601049,77.2068769
store_002482,"Hotspot- BIHAR-ROAD 8 KANKARBAGH","Patna",25.5846549,85.1430063,https://www.google.com/maps?q=25.5846549,85.1430063
store_002484,"Hotspot- BIHAR-MADHUBANI BAZAR","Purnea",25.782507,87.4630256,https://www.google.com/maps?q=25.782507,87.4630256
store_002497,"Hotspot- ALAKNANDA","New Delhi",28.541889,77.254543,https://www.google.com/maps?q=28.541889,77.254543
store_002485,"Hotspot- BIHAR-SARAN","Saran",25.62387,85.0418186,https://www.google.com/maps?q=25.62387,85.0418186
store_002488,"Hotspot- BIHAR - WEST BORING ROAD","Patna",25.6100144,85.1177635,https://www.google.com/maps?q=25.6100144,85.1177635
store_002498,"Hotspot- BHOGAL","New Delhi",28.5818465,77.2474939,https://www.google.com/maps?q=28.5818465,77.2474939
store_002486,"Hotspot- BIHAR - SASARAM","Sasaram",24.9544207,84.0163774,https://www.google.com/maps?q=24.9544207,84.0163774
store_002487,"Hotspot- BIHAR-PARSHA-BAZAR","Saran",25.8824236,85.0292782,https://www.google.com/maps?q=25.8824236,85.0292782
store_002489,"Hotspot- BIHAR - PASHCHIM CHAMPARAN BETTIAH","West Champaran",26.6574827,84.92007350000002,https://www.google.com/maps?q=26.6574827,84.92007350000002
