Excel Store Name,Excel City,Excel State,Match %,DB Store Name,DB City,DB Store ID,Status
"Vs - Mira Road Br","Thane","Maharashtra",59,"VS-Mira Road Br","Thane","store_000102","UNMATCHED"
"Vs - Goregaon (W) Br","Mumbai","Maharashtra",59,"VS-Goregaon (W) Br","Mumbai","store_000119","UNMATCHED"
"Vs - Goregaon (E) Br","Mumbai","Maharashtra",59,"VS-Goregaon (E) Br","Mumbai","store_000158","UNMATCHED"
"Croma -Mumbai-Pmc Lower Parel Mall- A027","Mumbai","Maharashtra",59,"Croma-Mumbai-PMC Lower Parel Mall","Mumbai","store_000622","UNMATCHED"
"Croma-Vapi-Gidc- A486","Vapi","Gujarat",59,"Croma-Vapi-GIDC","Vapi","store_000693","UNMATCHED"
"Sanjay Trading Company","Jabalpur","Madhya Pradesh",59,"RK TRADING COMPANY","Kanpur","store_001990","UNMATCHED"
"Croma - Kolkata-Salt Lake Sector 1- A633","Kolkata","West Bengal",58,"Croma-Kolkata-Salt Lake Sector 1","Kolkata","store_000248","UNMATCHED"
"K P Cool Point","Kolkata","West Bengal",58,"COOL POINT","Kolkata","store_002001","UNMATCHED"
"Lakshay Mobile & Electronics","Gurgaon","Haryana",58,"PRIYANKA MOBILE & ELECTRONICS","Patna","store_002133","UNMATCHED"
"Rahul Electro World","Jaipur","Rajasthan",58,"GANPATI ELECTRO WORLD","Amritsar","store_000749","UNMATCHED"
"Bharath Electronics","Bhubaneswar","Odisha",58,"BHARAT ELECTRONICS","Delhi","store_000864","UNMATCHED"
"Standerd Electronics","Lucknow","Uttar Pradesh",58,"STANDARD ELECTRONICS","Lucknow","store_002062","UNMATCHED"
"Agarwal Enterprises","Noida","Uttar Pradesh",58,"AGGARWAL ENTERPRISES","Jodhpur","store_001931","UNMATCHED"
"Mondal Distribution Pvt. Ltd","Kolkata","West Bengal",58,"MONDAL DISTRIBUTION","Kolkata","store_002015","UNMATCHED"
"Rohit Refrigeration Pvt Ltd","Kolkata","West Bengal",58,"ROHIT REFRIGERATION","Kolkata","store_002021","UNMATCHED"
"Shiva Enterprises","Amritsar","Punjab",57,"SHIVAM ENTERPRISES","Delhi","store_000887","UNMATCHED"
"Omm Electronics","Bhubaneswar","Odisha",57,"OM ELECTRONICS","Delhi","store_001793","UNMATCHED"
